,Case_ID,Activity,Timestamp,Items,Customers,Orders,Amount_Items,Amount_Orders,Time_Diff,Time_Since_Start,Time_Since_Midnight,Weekday,Remaining_Time,Next_Time_Diff,Next_Time_Since_Start,Next_Time_Since_Midnight,Next_Weekday,Next_Remaining_Time,Act_!,Act_G,Act_H,Act_I,Act_J,Cust_a,Cust_b,Cust_c,Cust_d,Cust_e,Cust_f,Cust_g,Cust_h,Cust_i,Cust_j,Cust_k,Cust_l,Cust_m,Cust_n,Cust_o,Cust_p,Cust_q,Next_Act_!,Next_Act_G,Next_Act_H,Next_Act_I,Next_Act_J,Next_Activity,Position,Trace_Len
0,660001,G,2019-05-23 11:00:25,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,"['990011', '990002', '990013', '990012', '990009']",16,5,0,0,39625,3,29615,12154.0,12154.0,51779.0,3.0,17461.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,4
1,660001,H,2019-05-23 14:22:59,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,"['990011', '990002', '990013', '990012', '990009']",16,5,12154,12154,51779,3,17461,1542.0,13696.0,53321.0,3.0,15919.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,I,2,4
2,660001,I,2019-05-23 14:48:41,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,"['990011', '990002', '990013', '990012', '990009']",16,5,1542,13696,53321,3,15919,15919.0,29615.0,69240.0,3.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,J,3,4
3,660001,J,2019-05-23 19:14:00,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",b,"['990011', '990002', '990013', '990012', '990009']",16,5,15919,29615,69240,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,!,4,4
4,660002,G,2019-05-23 17:26:26,"['880101', '880098', '880003', '880002', '880099']",a,"['990025', '990001']",5,2,0,0,62786,3,80898,1006.0,1006.0,63792.0,3.0,79892.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,3
5,660002,H,2019-05-23 17:43:12,"['880101', '880098', '880003', '880002', '880099']",a,"['990025', '990001']",5,2,1006,1006,63792,3,79892,79892.0,80898.0,57284.0,4.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,J,2,3
6,660002,J,2019-05-24 15:54:44,"['880101', '880098', '880003', '880002', '880099']",a,"['990025', '990001']",5,2,79892,80898,57284,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,!,3,3
7,660003,G,2019-05-24 10:49:32,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,"['990007', '990026', '990004', '990017']",12,4,0,0,38972,4,352354,258641.0,258641.0,38413.0,0.0,93713.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,H,1,4
8,660003,H,2019-05-27 10:40:13,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,"['990007', '990026', '990004', '990017']",12,4,258641,258641,38413,0,93713,15368.0,274009.0,53781.0,0.0,78345.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,I,2,4
9,660003,I,2019-05-27 14:56:21,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",d,"['990007', '990026', '990004', '990017']",12,4,15368,274009,53781,0,78345,78345.0,352354.0,45726.0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,J,3,4
