,Case_ID,Activity,Timestamp
0,990001,A,2019-05-20 09:07:47
1,990001,C,2019-05-20 11:13:54
2,990001,B,2019-05-20 11:20:13
3,990001,D,2019-05-20 13:54:37
4,990001,E,2019-05-21 10:03:49
5,990001,D,2019-05-23 10:40:50
6,990001,B,2019-05-23 11:00:25
7,990001,F,2019-05-23 11:27:55
8,990001,G,2019-05-23 17:26:26
9,990001,H,2019-05-23 17:43:12
10,990001,J,2019-05-24 15:54:44
11,990001,E,2019-05-27 17:54:52
12,990001,B,2019-06-04 15:20:53
13,990001,G,2019-06-06 16:20:03
14,990001,H,2019-06-07 10:00:10
15,990001,J,2019-06-07 14:04:28
16,990001,B,2019-06-20 14:58:13
17,990001,G,2019-06-25 11:30:01
18,990001,H,2019-06-25 11:55:45
19,990001,J,2019-06-26 09:18:52
20,990002,A,2019-05-20 10:35:21
21,990002,B,2019-05-20 10:38:17
22,990002,B,2019-05-20 17:08:25
23,990002,B,2019-05-20 18:15:00
24,990002,C,2019-05-21 12:19:16
25,990002,B,2019-05-21 12:35:03
26,990002,F,2019-05-22 14:47:40
27,990002,G,2019-05-23 11:00:25
28,990002,H,2019-05-23 14:22:59
29,990002,I,2019-05-23 14:48:41
30,990002,J,2019-05-23 19:14:00
31,990003,A,2019-05-20 12:30:30
32,990003,C,2019-05-20 12:34:16
33,990003,D,2019-05-20 15:19:49
34,990003,B,2019-05-20 17:51:15
35,990003,B,2019-05-21 09:43:01
36,990003,F,2019-05-21 10:41:07
37,990003,B,2019-05-21 14:58:29
38,990003,E,2019-05-22 16:52:23
39,990003,G,2019-05-24 15:49:44
40,990003,B,2019-05-24 17:26:40
41,990003,H,2019-05-27 09:50:01
42,990003,J,2019-05-27 12:39:25
43,990003,G,2019-05-29 16:14:37
44,990003,H,2019-05-30 10:19:45
45,990003,J,2019-05-31 11:00:07
46,990004,A,2019-05-20 14:20:47
47,990004,B,2019-05-20 16:56:02
48,990004,C,2019-05-20 18:36:37
49,990004,B,2019-05-21 12:39:01
50,990004,G,2019-05-24 10:49:32
51,990004,H,2019-05-27 10:40:13
52,990004,I,2019-05-27 14:56:21
53,990004,J,2019-05-28 12:42:06
54,990004,K,2019-06-09 18:36:37
55,990004,F,2019-06-13 10:57:55
56,990005,A,2019-05-20 16:01:22
57,990005,C,2019-05-21 10:34:23
58,990005,B,2019-05-22 11:18:26
59,990005,B,2019-05-22 15:24:59
60,990005,G,2019-05-28 09:49:33
61,990005,H,2019-05-28 16:20:29
62,990005,J,2019-05-29 12:01:39
63,990005,K,2019-06-10 10:34:23
64,990005,K,2019-06-30 10:34:23
65,990005,F,2019-07-03 17:07:23
66,990006,A,2019-05-20 17:22:31
67,990006,B,2019-05-21 08:55:41
68,990006,B,2019-05-21 12:15:15
69,990006,C,2019-05-21 14:55:05
70,990006,B,2019-05-22 10:17:48
71,990006,G,2019-05-25 01:00:00
72,990006,H,2019-05-27 20:29:32
73,990006,J,2019-05-29 09:50:36
74,990006,F,2019-05-31 21:05:52
75,990007,A,2019-05-20 19:04:49
76,990007,B,2019-05-21 10:49:44
77,990007,C,2019-05-21 14:33:48
78,990007,B,2019-05-21 17:02:33
79,990007,G,2019-05-24 10:49:32
80,990007,B,2019-05-27 09:53:59
81,990007,H,2019-05-27 10:40:13
82,990007,I,2019-05-27 14:56:21
83,990007,J,2019-05-28 12:42:06
84,990007,G,2019-05-29 15:38:06
85,990007,H,2019-05-30 10:10:22
86,990007,J,2019-05-30 12:02:46
87,990007,K,2019-06-10 14:33:48
88,990007,F,2019-06-14 09:57:38
89,990008,A,2019-05-20 21:49:13
90,990008,B,2019-05-21 13:42:40
91,990008,B,2019-05-21 14:56:24
92,990008,B,2019-05-21 15:02:54
93,990008,B,2019-05-21 15:26:17
94,990008,D,2019-05-21 15:51:03
95,990008,E,2019-05-21 16:51:49
96,990008,C,2019-05-22 10:34:00
97,990008,F,2019-05-22 13:31:24
98,990008,B,2019-05-22 17:13:56
99,990008,G,2019-05-24 15:49:44
100,990008,H,2019-05-27 09:50:01
101,990008,B,2019-05-27 10:33:28
102,990008,J,2019-05-27 12:39:25
103,990008,G,2019-05-29 16:14:37
104,990008,H,2019-05-30 10:19:45
105,990008,J,2019-05-31 11:00:07
106,990009,A,2019-05-21 07:13:12
107,990009,B,2019-05-21 08:23:42
108,990009,D,2019-05-21 09:14:32
109,990009,C,2019-05-21 13:40:12
110,990009,B,2019-05-21 14:14:14
111,990009,B,2019-05-21 15:32:29
112,990009,B,2019-05-22 09:49:11
113,990009,G,2019-05-23 11:00:25
114,990009,H,2019-05-23 14:22:59
115,990009,I,2019-05-23 14:48:41
116,990009,B,2019-05-23 16:07:14
117,990009,E,2019-05-23 18:54:48
118,990009,J,2019-05-23 19:14:00
119,990009,G,2019-05-28 17:21:54
120,990009,H,2019-05-29 14:30:00
121,990009,J,2019-05-29 16:14:22
122,990009,B,2019-05-30 19:28:01
123,990009,G,2019-05-31 19:05:24
124,990009,H,2019-06-03 14:07:59
125,990009,J,2019-06-04 10:32:16
126,990009,F,2019-06-05 12:51:54
127,990010,A,2019-05-21 09:58:19
